call_id,origin,source_dataset,source_group,name,category,sub_category,description,midi_path,source_file,track_index,track_name,start_sec,end_sec,start_tick,end_tick,bpm,meter,bars,duration_sec,note_count,pitch_min,pitch_max,pitch_range,onset_density,mean_ioi,std_ioi,polyphony_rate,has_chord,has_pause,max_internal_pause,has_repetition_tail,has_chromatic_outside,key_root_pc,key_mode,scale_fit,license_note,citation_key,split,fingerprint_sha1
R01,real_public_dataset,calls_50,existing_call50,390-v1,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R01_390-v1.mid,D:\Mickey\MFP\ab_tests\calls_50\R01_390-v1.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,13,55,62,7,3.25,0.3125,0.207289,0,false,false,0.411458,true,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,1195e18e47abd63e4b632b58a05b0ecf6bfba1cd
R02,real_public_dataset,calls_50,existing_call50,667-v3,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R02_667-v3.mid,D:\Mickey\MFP\ab_tests\calls_50\R02_667-v3.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,8,59,69,10,2,0.357143,0.123718,0,false,true,0.652083,true,false,1,minor,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,1c5e2ff2c53c69e5c31dba9152cf887f6ef23675
R03,real_public_dataset,calls_50,existing_call50,174-v2,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R03_174-v2.mid,D:\Mickey\MFP\ab_tests\calls_50\R03_174-v2.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,12,59,69,10,3,0.329545,0.53106,0.00625,true,true,0.503125,true,false,1,minor,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,771d050138c37c40cbad17b1366c0e1e7643f2a3
R04,real_public_dataset,calls_50,existing_call50,339-v2,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R04_339-v2.mid,D:\Mickey\MFP\ab_tests\calls_50\R04_339-v2.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,9,71,81,10,2.25,0.28125,0.08268,0,false,true,1.357292,true,false,1,minor,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,f068367ea688beaadb18b5741f8169fce37a1522
R05,real_public_dataset,calls_50,existing_call50,581,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R05_581.mid,D:\Mickey\MFP\ab_tests\calls_50\R05_581.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,13,64,71,7,3.25,0.3125,0.108253,0,false,false,0.275,false,false,1,minor,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,ff81097d3900be2e0979d0b044cca922e91cb546
R06,real_public_dataset,calls_50,existing_call50,132-v2,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R06_132-v2.mid,D:\Mickey\MFP\ab_tests\calls_50\R06_132-v2.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,15,60,69,9,3.75,0.267857,0.148333,0.009375,true,false,0.194792,false,true,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,4475c62dbccc9de215987e14a18a91d970606383
R07,real_public_dataset,calls_50,existing_call50,664-v2,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R07_664-v2.mid,D:\Mickey\MFP\ab_tests\calls_50\R07_664-v2.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,11,73,85,12,2.75,0.375,0.30104,0,false,false,0.217708,false,false,1,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,ef710ef6d9abb985b05fad4d4a506a71bf81f1e1
R08,real_public_dataset,calls_50,existing_call50,266-v1,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R08_266-v1.mid,D:\Mickey\MFP\ab_tests\calls_50\R08_266-v1.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,8,66,71,5,2,0.428571,0.112938,0,false,false,0.004167,false,false,1,minor,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,c51e9d77d9fceba7b78d1514f1b19606da801b49
R09,real_public_dataset,calls_50,existing_call50,433,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R09_433.mid,D:\Mickey\MFP\ab_tests\calls_50\R09_433.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,23,59,71,12,5.75,0.170455,0.088753,0,false,false,0.217708,true,true,1,minor,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,ad39725fd8d7fb63a6e902ebbed7e3131c107f3b
R10,real_public_dataset,calls_50,existing_call50,039-v2,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R10_039-v2.mid,D:\Mickey\MFP\ab_tests\calls_50\R10_039-v2.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,11,74,79,5,2.75,0.346667,0.288161,0,false,false,0.436458,true,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,4f364689a16c5449b9b79f4a1974722395aa8f19
R11,real_public_dataset,calls_50,existing_call50,538,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R11_538.mid,D:\Mickey\MFP\ab_tests\calls_50\R11_538.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,20,58,75,17,5,0.157895,0.06837,0,false,true,0.745833,true,false,1,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,36a4f3b1ef53e812ddbc01a35f06f42b6509bd8c
R12,real_public_dataset,calls_50,existing_call50,457,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R12_457.mid,D:\Mickey\MFP\ab_tests\calls_50\R12_457.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,13,67,74,7,3.25,0.322917,0.272232,0,false,true,0.527083,true,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,1e0f5f59255d6df13d51bc36f8f7dc3dacc28a01
R13,real_public_dataset,calls_50,existing_call50,353-v1,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R13_353-v1.mid,D:\Mickey\MFP\ab_tests\calls_50\R13_353-v1.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,11,71,80,9,2.75,0.375,0.375,0,false,true,0.819792,true,false,1,minor,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,89da88cec0ff4e63d5ea7996ae63a5e82dee2bee
R14,real_public_dataset,calls_50,existing_call50,073,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R14_073.mid,D:\Mickey\MFP\ab_tests\calls_50\R14_073.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,12,57,72,15,3,0.272727,0.128565,0,false,true,0.817708,false,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,ae73d08663e1966e14597ccb6a2ebd191f4e4246
R15,real_public_dataset,calls_50,existing_call50,156-v2,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R15_156-v2.mid,D:\Mickey\MFP\ab_tests\calls_50\R15_156-v2.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,9,60,75,15,2.25,0.46875,0.317153,0,false,false,0.171875,false,false,0,minor,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,2e7ba27608d93a0fb9435a59b12eab84f02932e7
R16,real_public_dataset,calls_50,existing_call50,249,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R16_249.mid,D:\Mickey\MFP\ab_tests\calls_50\R16_249.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,8,67,77,10,2,0.5,0.231455,0,false,false,0.140625,true,false,0,minor,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,28ddca1102824fcba4b57f763709ce136eddeebb
R17,real_public_dataset,calls_50,existing_call50,319,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R17_319.mid,D:\Mickey\MFP\ab_tests\calls_50\R17_319.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,18,72,74,2,4.5,0.227941,0.261624,0,false,false,0.055208,true,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,7857b28e2182ea4dae6c2b78828608a732fe99ff
R18,real_public_dataset,calls_50,existing_call50,249,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R18_249.mid,D:\Mickey\MFP\ab_tests\calls_50\R18_249.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,9,72,79,7,2.25,0.375,0.125,0,false,false,0.140625,true,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,a59b5b007179d5b9fe2a96d6bebd58e25cecdd5e
R19,real_public_dataset,calls_50,existing_call50,733,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R19_733.mid,D:\Mickey\MFP\ab_tests\calls_50\R19_733.mid,1,MELODY,0,4,0,7680,120,4/4,2,4,10,60,79,19,2.5,0.388889,0.483924,0,false,true,1.034375,true,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,d3cc56689ada94b447ef718c37bcad600bf982d3
R20,real_public_dataset,calls_50,existing_call50,660,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R20_660.mid,D:\Mickey\MFP\ab_tests\calls_50\R20_660.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,8,68,73,5,2,0.5,0.517549,0,false,true,0.457292,true,false,1,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,b0394b74cf7768e400a86f6b55ef7c2ae305efc0
R21,real_public_dataset,calls_50,existing_call50,756-v2,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R21_756-v2.mid,D:\Mickey\MFP\ab_tests\calls_50\R21_756-v2.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,8,67,74,7,2,0.535714,0.281215,0,false,false,0.336458,false,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,d8c1f046471c1d767df8944187d9f5ebc6eee004
R22,real_public_dataset,calls_50,existing_call50,156,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R22_156.mid,D:\Mickey\MFP\ab_tests\calls_50\R22_156.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,10,63,68,5,2.5,0.416667,0.311805,0,false,false,0.171875,true,false,0,minor,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,966a2636cf3dd966424261fb98bac3f9b7310fdf
R23,real_public_dataset,calls_50,existing_call50,645,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R23_645.mid,D:\Mickey\MFP\ab_tests\calls_50\R23_645.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,12,70,84,14,3,0.340909,0.282496,0,false,false,0.378125,true,false,0,minor,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,3e875d94907b67a506ca3d1f28b8c6736b05dd33
R24,real_public_dataset,calls_50,existing_call50,242-v2,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R24_242-v2.mid,D:\Mickey\MFP\ab_tests\calls_50\R24_242-v2.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,15,68,80,12,3.75,0.267857,0.237909,0,false,false,0.186458,true,true,1,minor,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,ea062eb8d9f42fa60851210ec96b7e0a038c247f
R25,real_public_dataset,calls_50,existing_call50,618-v1,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R25_618-v1.mid,D:\Mickey\MFP\ab_tests\calls_50\R25_618-v1.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,10,70,78,8,2.5,0.277778,0.262055,0,false,true,1.43125,true,false,1,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,c0a44088bcf5b03c32d8ae90baac8344de9fbe4a
R26,real_public_dataset,calls_50,existing_call50,560-v1,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R26_560-v1.mid,D:\Mickey\MFP\ab_tests\calls_50\R26_560-v1.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,15,64,71,7,3.75,0.267857,0.175872,0,false,true,0.640625,true,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,75c9a328ac61a0d13e2fcbdfcafc102d61f7b167
R27,real_public_dataset,calls_50,existing_call50,735,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R27_735.mid,D:\Mickey\MFP\ab_tests\calls_50\R27_735.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,16,67,76,9,4,0.25,0.158169,0.007031,true,false,0.24375,true,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,72a0f6697815d907b21e14f9c8110ee2e39c991c
R28,real_public_dataset,calls_50,existing_call50,804-v3,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R28_804-v3.mid,D:\Mickey\MFP\ab_tests\calls_50\R28_804-v3.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,11,69,79,10,2.75,0.375,0.379144,0,false,true,0.692708,false,false,2,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,ed9531568aa89081ca147d6b638535d88b7ab02d
R29,real_public_dataset,calls_50,existing_call50,846-v2,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R29_846-v2.mid,D:\Mickey\MFP\ab_tests\calls_50\R29_846-v2.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,12,64,71,7,3,0.272727,0.183233,0,false,true,0.747917,false,false,1,minor,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,12b0a2717319984052e74e8ca0fe54345ad0c7aa
R30,real_public_dataset,calls_50,existing_call50,002-v2,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R30_002-v2.mid,D:\Mickey\MFP\ab_tests\calls_50\R30_002-v2.mid,1,Melody,0,4,0,3840,120,4/4,2,4,19,56,71,15,4.75,0.208333,0.102062,0,false,false,0.229167,false,true,8,minor,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,36d5a28a76da034556f2ddac65af13178bd146f3
R31,real_public_dataset,calls_50,existing_call50,069-v5,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R31_069-v5.mid,D:\Mickey\MFP\ab_tests\calls_50\R31_069-v5.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,10,75,85,10,2.5,0.361111,0.124226,0,false,false,0.139583,true,false,1,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,db0a537e682611a13ff4912fe7351da44aac9275
R32,real_public_dataset,calls_50,existing_call50,290-v2,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R32_290-v2.mid,D:\Mickey\MFP\ab_tests\calls_50\R32_290-v2.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,11,61,73,12,2.75,0.3625,0.3375,0,false,true,0.98125,true,false,3,minor,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,01a8c5bee7ae4c28b21e9258b34ef06839b245ba
R33,real_public_dataset,calls_50,existing_call50,144-v1,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R33_144-v1.mid,D:\Mickey\MFP\ab_tests\calls_50\R33_144-v1.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,21,68,77,9,5.25,0.1625,0.080039,0,false,true,0.738542,true,false,0,minor,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,a681b745531d05d62b35ec581be7206ceee39d66
R34,real_public_dataset,calls_50,existing_call50,680-v3,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R34_680-v3.mid,D:\Mickey\MFP\ab_tests\calls_50\R34_680-v3.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,15,72,79,7,3.75,0.267857,0.162686,0,false,false,0.161458,true,false,4,minor,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,791542036ef507b0b0a650b9de7f1d6e82d0b3c0
R35,real_public_dataset,calls_50,existing_call50,436-v2,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R35_436-v2.mid,D:\Mickey\MFP\ab_tests\calls_50\R35_436-v2.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,8,59,66,7,2,0.535714,0.699854,0,false,false,0.144792,true,false,1,minor,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,678bdc72ad924861d8c11266f24b5a32f481d105
R36,real_public_dataset,calls_50,existing_call50,230,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R36_230.mid,D:\Mickey\MFP\ab_tests\calls_50\R36_230.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,11,67,79,12,2.75,0.35,0.222205,0,false,false,0.322917,false,false,0,minor,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,29b273d7d645631c5597a22ea399edc14b67932c
R37,real_public_dataset,calls_50,existing_call50,667-v3,real_two_bar_monophonic_major_minor,copied_from_call50,Two-bar monophonic melody snippet sampled from public MIDI dataset.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\R37_667-v3.mid,D:\Mickey\MFP\ab_tests\calls_50\R37_667-v3.mid,1,MELODY,0,4,0,3840,120,4/4,2,4,7,67,71,4,1.75,0.625,0.535218,0,false,false,0.252083,true,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,d50e87964a20e0c7bac5adfa3f4028421acf64c6
